北京联通IPTV,#genre#
西藏卫视,rtp://239.3.1.47:8164
三沙卫视,rtp://239.3.1.155:4120
陕西卫视,rtp://239.3.1.41:8140
青海卫视,rtp://239.3.1.44:8184
内蒙古卫视,rtp://239.3.1.43:8176
中国交通,rtp://239.3.1.188:8001
朝阳融媒,rtp://239.3.1.163:8001
通州融媒,rtp://239.3.1.221:8001
密云电视台,rtp://239.3.1.154:8001
延庆电视台,rtp://239.3.1.187:8001
房山电视台,rtp://239.3.1.96:8001
CCTV-4 中文国际 欧洲,rtp://239.3.1.213:4220
CCTV-4 中文国际 美洲,rtp://239.3.1.214:4220
CGTN 新闻,rtp://239.3.1.215:4220
CGTN 记录,rtp://239.3.1.216:4220
CGTN 西班牙语,rtp://239.3.1.217:4220
CGTN 法语,rtp://239.3.1.218:4220
CGTN 阿拉伯语,rtp://239.3.1.219:4220
CGTN 俄语,rtp://239.3.1.220:4220
睛彩竞技,rtp://239.3.1.125:8001
睛彩篮球,rtp://239.3.1.126:8001
睛彩羽毛球,rtp://239.3.1.127:8001
睛彩广场舞,rtp://239.3.1.128:8001
茶频道,rtp://239.3.1.165:8001
体育赛事,rtp://239.3.1.157:8176
淘精彩,rtp://239.3.1.178:8001
快乐垂钓,rtp://239.3.1.164:8001
大健康,rtp://239.3.1.251:8001
CETV1,rtp://239.3.1.57:8152
CETV2,rtp://239.3.1.54:4120
CETV3,rtp://239.3.1.55:4120
CETV4,rtp://239.3.1.56:4120
少儿动画,rtp://239.3.1.199:9000
热播剧场,rtp://239.3.1.194:9020
CGTN 记录,rtp://239.3.1.216:4220
CGTN 西班牙语,rtp://239.3.1.217:4220
CGTN 法语,rtp://239.3.1.218:4220
CGTN 阿拉伯语,rtp://239.3.1.219:4220
CGTN 俄语,rtp://239.3.1.220:4220
睛彩竞技,rtp://239.3.1.125:8001
睛彩篮球,rtp://239.3.1.126:8001
睛彩羽毛球,rtp://239.3.1.127:8001
睛彩广场舞,rtp://239.3.1.128:8001
茶频道,rtp://239.3.1.165:8001
体育赛事,rtp://239.3.1.157:8176
淘精彩,rtp://239.3.1.178:8001
快乐垂钓,rtp://239.3.1.164:8001
大健康,rtp://239.3.1.251:8001
CETV1,rtp://239.3.1.57:8152
CETV2,rtp://239.3.1.54:4120
CETV3,rtp://239.3.1.55:4120
CETV4,rtp://239.3.1.56:4120
少儿动画,rtp://239.3.1.199:9000
热播剧场,rtp://239.3.1.194:9020
财富天下,rtp://239.3.1.53:9136
足球,rtp://239.3.1.89:4120
金鹰卡通,rtp://239.3.1.51:9252
鉴赏,rtp://239.3.1.82:4120
音乐现场,rtp://239.3.1.70:4120
高网,rtp://239.3.1.88:4120
魅力时尚,rtp://239.3.1.196:9012
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN西,http://go.bkpcp.top/mg/cgtne
CGTN阿,http://go.bkpcp.top/mg/cgtna
CGTN法,http://go.bkpcp.top/mg/cgtnf
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视4k,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws
CCTV-01,http://goo.bkpcp.top/mg/cctv1
CCTV-02,http://goo.bkpcp.top/mg/cctv2
CCTV-03,http://goo.bkpcp.top/mg/cctv3
CCTV-04,http://goo.bkpcp.top/mg/cctv4
CCTV-05,http://goo.bkpcp.top/mg/cctv5
CCTV-06,http://goo.bkpcp.top/mg/cctv6
CCTV-07,http://goo.bkpcp.top/mg/cctv7
CCTV-08,http://goo.bkpcp.top/mg/cctv8
CCTV-09,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-16,http://goo.bkpcp.top/mg/cctv16
CCTV-17,http://goo.bkpcp.top/mg/cctv17
CCTV-1综合,http://t.061899.xyz/tl/tl.php?id=cctv1 
CCTV-2财经,http://t.061899.xyz/tl/tl.php?id=cctv2 
CCTV-3综艺,http://t.061899.xyz/tl/tl.php?id=cctv3 
CCTV-4中文国际,http://t.061899.xyz/tl/tl.php?id=cctv4 
CCTV-5体育,http://t.061899.xyz/tl/tl.php?id=cctv5 
CCTV-5+体育赛事,http://t.061899.xyz/tl/tl.php?id=cctv5p 
CCTV-6电影,http://t.061899.xyz/tl/tl.php?id=cctv6 
CCTV-7国防军事,http://t.061899.xyz/tl/tl.php?id=cctv7 
CCTV-8电视剧,http://t.061899.xyz/tl/tl.php?id=cctv8 
CCTV-9纪录,http://t.061899.xyz/tl/tl.php?id=cctv9 
CCTV-10科教,http://t.061899.xyz/tl/tl.php?id=cctv10 
CCTV-11戏曲,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12社会与法,http://t.061899.xyz/tl/tl.php?id=cctv12 
CCTV-13新闻,http://t.061899.xyz/tl/tl.php?id=cctv13#https://cdn3.946985.qzz.io/live/cctv13/stream.m3u8
CCTV-14少儿,http://t.061899.xyz/tl/tl.php?id=cctv14 
CCTV-15音乐,http://t.061899.xyz/tl/tl.php?id=cctv15 
CCTV-16奥运,http://t.061899.xyz/tl/tl.php?id=cctv16 
CCTV-17农业农村,http://t.061899.xyz/tl/tl.php?id=cctv17 
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws 
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws 
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws 
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws 
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws 
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws 
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws 
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws 
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws 
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws 
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws 
大湾区卫视,http://t.061899.xyz/tl/tl.php?id=dwqws 
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws 
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws 
北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws 
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws 
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws 
黑龙江卫视,http://t.061899.xyz/tl/tl.php?id=hljws 
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws 
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws 
内蒙古卫视,http://t.061899.xyz/tl/tl.php?id=nmgws 
甘肃卫视,http://t.061899.xyz/tl/tl.php?id=gsws 
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws 
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws 
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws 
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws 
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws 
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws 
云南卫视,http://t.061899.xyz/tl/tl.php?id=ynws 
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws 
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws 
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws 
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws 
西藏卫视,http://t.061899.xyz/tl/tl.php?id=xzws 
厦门卫视,http://113.195.172.192:808/hls/113/index.m3u8
电影轮播,rtmp://live.gxrb.com.cn/pull/red_movies_0501
经典影视台,http://huanqiuzhibo.cn/manifest/douyu.php?id=6091425
CCTV-1,http://114.254.185.98:8099/rtp/239.3.1.129:8008
CCTV-2,http://114.254.185.98:8099/rtp/239.3.1.60:8084
CCTV-3,http://114.254.185.98:8099/rtp/239.3.1.172:8001
CCTV-4,http://114.254.185.98:8099/rtp/239.3.1.105:8092
CCTV-5,http://114.254.185.98:8099/rtp/239.3.1.173:8001
CCTV-5+,http://114.254.185.98:8099/rtp/239.3.1.130:8004
CCTV-6,http://114.254.185.98:8099/rtp/239.3.1.174:8001
CCTV-7,http://114.254.185.98:8099/rtp/239.3.1.61:8104
CCTV-8,http://114.254.185.98:8099/rtp/239.3.1.175:8001
CCTV-9,http://114.254.185.98:8099/rtp/239.3.1.62:8112
CCTV-10,http://114.254.185.98:8099/rtp/239.3.1.63:8116
CCTV-11,http://114.254.185.98:8099/rtp/239.3.1.152:8120
CCTV-12,http://114.254.185.98:8099/rtp/239.3.1.64:8124
CCTV-13,http://114.254.185.98:8099/rtp/239.3.1.124:8128
CCTV-14,http://114.254.185.98:8099/rtp/239.3.1.65:8132
CCTV-15,http://114.254.185.98:8099/rtp/239.3.1.153:8136
CCTV-16 奥林匹克,http://114.254.185.98:8099/rtp/239.3.1.183:8001
CCTV-16 奥林匹克,http://114.254.185.98:8099/rtp/239.3.1.184:8001
CCTV-17,http://114.254.185.98:8099/rtp/239.3.1.151:8144
BRTV北京卫视,http://114.254.185.98:8099/rtp/239.3.1.241:8000
BRTV新闻,http://114.254.185.98:8099/rtp/239.3.1.159:8000
BRTV影视,http://114.254.185.98:8099/rtp/239.3.1.158:8000
BRTV文艺,http://114.254.185.98:8099/rtp/239.3.1.242:8000
BRTV财经,http://114.254.185.98:8099/rtp/239.3.1.116:8000
BRTV生活,http://114.254.185.98:8099/rtp/239.3.1.117:8000
BRTV青年,http://114.254.185.98:8099/#
BRTV纪实科教,http://114.254.185.98:8099/rtp/239.3.1.115:8000
BRTV卡酷少儿,http://114.254.185.98:8099/rtp/239.3.1.189:8000
BRTV体育休闲,http://114.254.185.98:8099/rtp/239.3.1.243:8000
BTV国际频道,http://114.254.185.98:8099/rtp/239.3.1.235:8000
爱上4K,http://114.254.185.98:8099/rtp/239.3.1.236:2000
4K超清,http://114.254.185.98:8099/rtp/239.3.1.249:8001
淘电影,http://114.254.185.98:8099/rtp/239.3.1.250:8001
星影,http://114.254.185.98:8099/rtp/239.3.1.94:4120
动作影院,http://114.254.185.98:8099/rtp/239.3.1.92:4120
光影,http://114.254.185.98:8099/rtp/239.3.1.84:4120
喜剧影院,http://114.254.185.98:8099/rtp/239.3.1.91:4120
家庭影院,http://114.254.185.98:8099/rtp/239.3.1.93:4120
精选,http://114.254.185.98:8099/rtp/239.3.1.74:4120
经典电影,http://114.254.185.98:8099/rtp/239.3.1.195:9024
纪实人文,http://114.254.185.98:8099/rtp/239.3.1.212:8060
金鹰纪实,http://114.254.185.98:8099/rtp/239.3.1.58:8156
地理,http://114.254.185.98:8099/rtp/239.3.1.71:4120
淘剧场,http://114.254.185.98:8099/rtp/239.3.1.95:8001
淘娱乐,http://114.254.185.98:8099/rtp/239.3.1.100:8001
淘Baby,http://114.254.185.98:8099/rtp/239.3.1.238:8001
萌宠TV,http://114.254.185.98:8099/rtp/239.3.1.102:8001
湖南卫视,http://114.254.185.98:8099/rtp/239.3.1.132:8012
东方卫视,http://114.254.185.98:8099/rtp/239.3.1.136:8032
浙江卫视,http://114.254.185.98:8099/rtp/239.3.1.137:8036
江苏卫视,http://114.254.185.98:8099/rtp/239.3.1.135:8028
深圳卫视,http://114.254.185.98:8099/rtp/239.3.1.134:8020
广东卫视,http://114.254.185.98:8099/rtp/239.3.1.142:8048
安徽卫视,http://114.254.185.98:8099/rtp/239.3.1.211:8064
天津卫视,http://114.254.185.98:8099/rtp/239.3.1.141:1234
重庆卫视,http://114.254.185.98:8099/rtp/239.3.1.122:8160
山东卫视,http://114.254.185.98:8099/rtp/239.3.1.209:8052
黑龙江卫视,http://114.254.185.98:8099/rtp/239.3.1.133:8016
河北卫视,http://114.254.185.98:8099/rtp/239.3.1.148:8072
辽宁卫视,http://114.254.185.98:8099/rtp/239.3.1.210:8056
湖北卫视,http://114.254.185.98:8099/rtp/239.3.1.138:8044
吉林卫视,http://114.254.185.98:8099/rtp/239.3.1.240:8172
贵州卫视,http://114.254.185.98:8099/rtp/239.3.1.149:8076
东南卫视,http://114.254.185.98:8099/rtp/239.3.1.156:8148
江西卫视,http://114.254.185.98:8099/rtp/239.3.1.123:8164
海南卫视,http://114.254.185.98:8099/rtp/239.3.1.45:8304
云南卫视,http://114.254.185.98:8099/rtp/239.3.1.26:8108
兵团卫视,http://114.254.185.98:8099/rtp/239.3.1.144:4120
厦门卫视,http://114.254.185.98:8099/rtp/239.3.1.143:4120
四川卫视,http://114.254.185.98:8099/rtp/239.3.1.29:8288
南方卫视,http://114.254.185.98:8099/rtp/239.3.1.161:8001
宁夏卫视,http://114.254.185.98:8099/rtp/239.3.1.46:8124
山西卫视,http://114.254.185.98:8099/rtp/239.3.1.42:8172
广西卫视,http://114.254.185.98:8099/rtp/239.3.1.39:8300
新疆卫视,http://114.254.185.98:8099/rtp/239.3.1.48:8160
河南卫视,http://114.254.185.98:8099/rtp/239.3.1.27:8128
甘肃卫视,http://114.254.185.98:8099/rtp/239.3.1.49:8188
西藏卫视,http://114.254.185.98:8099/rtp/239.3.1.47:8164
三沙卫视,http://114.254.185.98:8099/rtp/239.3.1.155:4120
陕西卫视,http://114.254.185.98:8099/rtp/239.3.1.41:8140
青海卫视,http://114.254.185.98:8099/rtp/239.3.1.44:8184
内蒙古卫视,http://114.254.185.98:8099/rtp/239.3.1.43:8176
中国交通,http://114.254.185.98:8099/rtp/239.3.1.188:8001
朝阳融媒,http://114.254.185.98:8099/rtp/239.3.1.163:8001
通州融媒,http://114.254.185.98:8099/rtp/239.3.1.221:8001
密云电视台,http://114.254.185.98:8099/rtp/239.3.1.154:8001
延庆电视台,http://114.254.185.98:8099/rtp/239.3.1.187:8001
房山电视台,http://114.254.185.98:8099/rtp/239.3.1.96:8001
CCTV-4 中文国际 欧洲,http://114.254.185.98:8099/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲,http://114.254.185.98:8099/rtp/239.3.1.214:4220
CGTN 新闻,http://114.254.185.98:8099/rtp/239.3.1.215:4220
CGTN 记录,http://114.254.185.98:8099/rtp/239.3.1.216:4220
CGTN 西班牙语,http://114.254.185.98:8099/rtp/239.3.1.217:4220
CGTN 法语,http://114.254.185.98:8099/rtp/239.3.1.218:4220
CGTN 阿拉伯语,http://114.254.185.98:8099/rtp/239.3.1.219:4220
CGTN 俄语,http://114.254.185.98:8099/rtp/239.3.1.220:4220
睛彩竞技,http://114.254.185.98:8099/rtp/239.3.1.125:8001
睛彩篮球,http://114.254.185.98:8099/rtp/239.3.1.126:8001
睛彩羽毛球,http://114.254.185.98:8099/rtp/239.3.1.127:8001
睛彩广场舞,http://114.254.185.98:8099/rtp/239.3.1.128:8001
茶频道,http://114.254.185.98:8099/rtp/239.3.1.165:8001
体育赛事,http://114.254.185.98:8099/rtp/239.3.1.157:8176
淘精彩,http://114.254.185.98:8099/rtp/239.3.1.178:8001
快乐垂钓,http://114.254.185.98:8099/rtp/239.3.1.164:8001
大健康,http://114.254.185.98:8099/rtp/239.3.1.251:8001
CETV1,http://114.254.185.98:8099/rtp/239.3.1.57:8152
CETV2,http://114.254.185.98:8099/rtp/239.3.1.54:4120
CETV3,http://114.254.185.98:8099/rtp/239.3.1.55:4120
CETV4,http://114.254.185.98:8099/rtp/239.3.1.56:4120
少儿动画,http://114.254.185.98:8099/rtp/239.3.1.199:9000
热播剧场,http://114.254.185.98:8099/rtp/239.3.1.194:9020
解密,http://114.254.185.98:8099/rtp/239.3.1.75:4120
军事,http://114.254.185.98:8099/rtp/239.3.1.76:4120
军旅剧场,http://114.254.185.98:8099/rtp/239.3.1.68:4120
动画,http://114.254.185.98:8099/rtp/239.3.1.80:4120
古装剧场,http://114.254.185.98:8099/rtp/239.3.1.69:4120
台球,http://114.254.185.98:8099/rtp/239.3.1.85:4120
嘉佳卡通,http://114.254.185.98:8099/rtp/239.3.1.147:9268
国学,http://114.254.185.98:8099/rtp/239.3.1.77:4120
城市剧场,http://114.254.185.98:8099/rtp/239.3.1.67:4120
墨宝,http://114.254.185.98:8099/rtp/239.3.1.83:4120
好学生,http://114.254.185.98:8099/rtp/239.3.1.81:4120
山东教育,http://114.254.185.98:8099/rtp/239.3.1.52:4120
戏曲,http://114.254.185.98:8099/rtp/239.3.1.78:4120
收视指南,http://114.254.185.98:8099/rtp/239.3.1.193:8012
早教,http://114.254.185.98:8099/rtp/239.3.1.79:4120
武侠剧场,http://114.254.185.98:8099/rtp/239.3.1.90:4120
武术,http://114.254.185.98:8099/rtp/239.3.1.87:4120
爱生活,http://114.254.185.98:8099/rtp/239.3.1.86:4120
美人,http://114.254.185.98:8099/rtp/239.3.1.73:4120
美妆,http://114.254.185.98:8099/rtp/239.3.1.72:4120
财富天下,http://114.254.185.98:8099/rtp/239.3.1.53:9136
足球,http://114.254.185.98:8099/rtp/239.3.1.89:4120
金鹰卡通,http://114.254.185.98:8099/rtp/239.3.1.51:9252
鉴赏,http://114.254.185.98:8099/rtp/239.3.1.82:4120
音乐现场,http://114.254.185.98:8099/rtp/239.3.1.70:4120
高网,http://114.254.185.98:8099/rtp/239.3.1.88:4120
魅力时尚,http://114.254.185.98:8099/rtp/239.3.1.196:9012
Channel,http://114.254.185.98:8099/# rtp/239.3.1.118:8000
Channel,http://114.254.185.98:8099/# rtp/239.3.1.243:8000
Channel,http://114.254.185.98:8099/# rtp/239.3.1.120:8000
Channel,http://114.254.185.98:8099/# rtp/239.3.1.121:8000
Channel,http://114.254.185.98:8099/# rtp/239.3.1.111:8001
Channel,http://114.254.185.98:8099/# rtp/239.3.1.114:8001
Channel,http://114.254.185.98:8099/# rtp/239.3.1.112:8001
Channel,http://114.254.185.98:8099/# rtp/239.3.1.113:8001
北京卫视4K,http://114.254.185.98:8099/rtp/239.3.1.140:8001
北京卫视4K,http://114.254.185.98:8099/rtp/239.3.1.139:8001
东方卫视4K,http://114.254.185.98:8099/rtp/239.3.1.119:3006
广东卫视4K,http://114.254.185.98:8099/rtp/239.3.1.203:2000
深圳卫视4K,http://114.254.185.98:8099/rtp/239.3.1.202:2000
湖南卫视4K,http://114.254.185.98:8099/rtp/239.3.1.112:3002
山东卫视4K,http://114.254.185.98:8099/rtp/239.3.1.144:3005
四川卫视4K,http://114.254.185.98:8099/rtp/239.3.1.131:3001
浙江卫视4K,http://114.254.185.98:8099/rtp/239.3.1.114:3004
江苏卫视4K,http://114.254.185.98:8099/rtp/239.3.1.113:3003
CCTV1-综合,http://123.113.101.206:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://123.113.101.206:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://123.113.101.206:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://123.113.101.206:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://123.113.101.206:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://123.113.101.206:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://123.113.101.206:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://123.113.101.206:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://123.113.101.206:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://123.113.101.206:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://123.113.101.206:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://123.113.101.206:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://123.113.101.206:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://123.113.101.206:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://123.113.101.206:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.113.101.206:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://123.113.101.206:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://123.113.101.206:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://123.113.101.206:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://123.113.101.206:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://123.113.101.206:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://123.113.101.206:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://123.113.101.206:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://123.113.101.206:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://123.113.101.206:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://123.113.101.206:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://123.113.101.206:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://123.113.101.206:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://123.113.101.206:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://123.113.101.206:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://123.113.101.206:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
京津沪粤,#genre#
北京文艺,http://xxwx.yoesun.com/xxw/北京网.php?id=bjwy
北京新闻,http://xxwx.yoesun.com/xxw/北京网.php?id=bjxw
北京纪实,http://xxwx.yoesun.com/xxw/北京网.php?id=bjjs
北京影视,http://xxwx.yoesun.com/xxw/北京网.php?id=bjys
北京财经,http://xxwx.yoesun.com/xxw/北京网.php?id=bjcj
